gml_id,spatial_name,spatial_alias,spatial_type,BZR_NAME,PGR_NAME,BEZNAME,DATUM,SHAPE_AREA
re_bezirksregion.010111,010111,Tiergarten Süd,Polygon,Tiergarten Süd,Zentrum,Mitte,2007-10-26T00:00:00,5171461.96417612
re_bezirksregion.010112,010112,Regierungsviertel,Polygon,Regierungsviertel,Zentrum,Mitte,2007-10-26T00:00:00,2691032.37705494
re_bezirksregion.010113,010113,Alexanderplatz,Polygon,Alexanderplatz,Zentrum,Mitte,2007-10-26T00:00:00,6228902.70757808
re_bezirksregion.010114,010114,Brunnenstr. Süd,Polygon,Brunnenstraße Süd,Zentrum,Mitte,2007-10-26T00:00:00,1753345.30883474
re_bezirksregion.010221,010221,Moabit West,Polygon,Moabit West,Moabit,Mitte,2007-10-26T00:00:00,4329255.71500918
re_bezirksregion.010222,010222,Moabit Ost,Polygon,Moabit Ost,Moabit,Mitte,2007-10-26T00:00:00,3910282.40904959
re_bezirksregion.010331,010331,Osloer Straße,Polygon,Osloer Straße,Gesundbrunnen,Mitte,2007-10-26T00:00:00,2364708.2890845
re_bezirksregion.010332,010332,Brunnenstr. Nord,Polygon,Brunnenstraße Nord,Gesundbrunnen,Mitte,2007-10-26T00:00:00,3388544.10164534
re_bezirksregion.010441,010441,Parkviertel,Polygon,Parkviertel,Wedding,Mitte,2007-10-26T00:00:00,7119523.1645775
re_bezirksregion.010442,010442,Wedding Zentrum,Polygon,Wedding Zentrum,Wedding,Mitte,2007-10-26T00:00:00,2492111.15696356
re_bezirksregion.020101,020101,Südliche Friedrichstadt,Polygon,Südliche Friedrichstadt,Kreuzberg Nord,Friedrichshain-Kreuzberg,2007-10-26T00:00:00,2929464.74531043
re_bezirksregion.020202,020202,Tempelhofer Vorstadt,Polygon,Tempelhofer Vorstadt,Kreuzberg Süd,Friedrichshain-Kreuzberg,2007-10-26T00:00:00,4754026.17213266
re_bezirksregion.020303,020303,Nördliche Luisenstadt,Polygon,Nördliche Luisenstadt,Kreuzberg Ost,Friedrichshain-Kreuzberg,2007-10-26T00:00:00,1302530.72725755
re_bezirksregion.020304,020304,Südliche Luisenstadt,Polygon,Südliche Luisenstadt,Kreuzberg Ost,Friedrichshain-Kreuzberg,2007-10-26T00:00:00,1458827.26325683
re_bezirksregion.020405,020405,Karl-Marx-Allee Nord,Polygon,Karl-Marx-Allee Nord,Friedrichshain West,Friedrichshain-Kreuzberg,2007-10-26T00:00:00,2169425.71071674
re_bezirksregion.020407,020407,Karl-Marx-Allee Süd,Polygon,Karl-Marx-Allee Süd,Friedrichshain West,Friedrichshain-Kreuzberg,2007-10-26T00:00:00,2407641.40377688
re_bezirksregion.020506,020506,Frankfurter Allee Nord,Polygon,Frankfurter Allee Nord,Friedrichshain Ost,Friedrichshain-Kreuzberg,2007-10-26T00:00:00,1279191.15755819
re_bezirksregion.020508,020508,Frankfurter Allee Süd FK,Polygon,Frankfurter Allee Süd FK,Friedrichshain Ost,Friedrichshain-Kreuzberg,2007-10-26T00:00:00,4087418.77483745
re_bezirksregion.030101,030101,Buch,Polygon,Buch,Buch,Pankow,2007-10-26T00:00:00,22972706.7042288
